Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Thumb Thing From Nothing","CATT Crag > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120726122/thumb-thing-from-nothing,2.0,-1,Sport,5.6,1,55,47.57312,-120.78443
"Kitten Caboodle","CATT Crag > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120726195/kitten-caboodle,1.3,-1,Sport,5.6,1,70,47.57312,-120.78443
"Feline Frolics","CATT Crag > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120726174/feline-frolics,1.5,-1,Sport,5.8,1,70,47.57312,-120.78443
"Sandpaper Tongue","CATT Crag > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120726275/sandpaper-tongue,1.5,-1,Sport,5.8,1,65,47.57312,-120.78443
Adios,"Farewell Buttress > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120839855/adios,1.0,-1,Sport,5.8,1,50,47.5465,-120.70074
"Ladies In Love","Capital Hill > Crags Below Bathtub > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120870463/ladies-in-love,2.0,-1,Sport,5.10b,1,70,47.57272,-120.7807
"Dark and Stormy","Curmudgeon Crag > Crags Below Bathtub > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120870634/dark-and-stormy,2.0,-1,Sport,5.8+,1,85,47.57272,-120.78069
"Gordon's Dikes","Skid Row > Crags Below Bathtub > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120870686/gordons-dikes,1.0,-1,Sport,5.7+,1,75,47.57272,-120.7807
"Ostrich Sized","9-Mile Crag > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120884277/ostrich-sized,1.0,-1,Sport,5.6,1,35,47.57718,-120.79371
"Reach For a Peach","Icicle Island Smears > Lower Snow Creek area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121756447/reach-for-a-peach,2.0,-1,Sport,"5.10a PG13",1,80,47.54171,-120.71031
